gene_callers_id;mean_pNpS;conf_int_lower;conf_int_upper;t_statistic;p_value;adj.p;host_species;gene_cluster_id;genome_name;type;genome_occurences;DAGCs;COG20_FUNCTION;KOfam;Pfam
165872;4155.452884;885.7857396;Inf;2.99019352;0.029060826;0.045604651;COCO;GC_00015958;M_sp_018;accessory;5;non-DAGC;Uncharacterized conserved protein, DUF497 family (PDB:3U97);uncharacterized protein;Ribonuclease toxin, BrnT, of type II toxin-antitoxin system
66377;20.55632172;4.698712052;Inf;2.629089912;0.029120852;0.045604651;COCO;GC_00015108;M_sp_018;accessory;5;non-DAGC;VapC family ribonuclease, toxin component of the VapBC toxin-antitoxin module, contains PIN domain (VapC) (PUBMED:30169502);;PIN domain
458894;18.2256016;4.013899659;Inf;2.852445197;0.032489214;0.045604651;COCO;GC_00033218;M_sp_018;accessory;2;non-DAGC;;;
378643;14.07756185;2.211814175;Inf;3.218195184;0.042248556;0.049509774;COCO;GC_00012718;M_sp_018;accessory;7;angio_vs_gymno;mRNA-degrading endonuclease RelE, toxin component of the RelBE toxin-antitoxin system (RelE) (PDB:1WMI);mRNA interferase RelE/StbE;ParE toxin of type II toxin-antitoxin system, parDE
67015;11.13316356;2.962874062;Inf;2.918748058;0.030779255;0.045604651;COCO;GC_00005881;M_sp_018;accessory;19;non-DAGC;;;
67031;7.536638274;4.552930393;Inf;4.670400673;0.004757738;0.020383067;COCO;GC_00034777;M_sp_018;accessory;1;angio_vs_gymno;;;
166007;6.074335247;1.876186088;Inf;2.844528523;0.032701233;0.045604651;COCO;GC_00031821;M_sp_018;accessory;2;non-DAGC;Predicted acetyltransferase, GNAT family;;Acetyltransferase (GNAT) domain
66267;5.961366407;5.198129502;Inf;13.85791616;7.86E-05;0.005265946;COCO;GC_00029049;M_sp_018;accessory;2;COCO_vs_gymno;;;
66722;4.968361291;1.652920288;Inf;2.55167812;0.031596432;0.045604651;COCO;GC_00009704;M_sp_018;accessory;11;angio_vs_gymno;;;
66752;4.755218215;1.515879588;Inf;2.471353201;0.034423342;0.046127278;COCO;GC_00057621;M_sp_018;accessory;1;non-DAGC;;;
66421;4.655175823;1.62202161;Inf;2.835977509;0.032932183;0.045604651;COCO;GC_00027576;M_sp_018;accessory;2;trees_vs_shrub;;;
67016;4.640354164;2.970265087;Inf;4.64686431;0.004842067;0.020383067;COCO;GC_00065600;M_sp_018;accessory;1;angio_vs_gymno;;;
552047;3.617063688;2.414612074;Inf;4.639836436;0.004867598;0.020383067;COCO;GC_00061250;M_sp_018;accessory;1;non-DAGC;;;
285780;3.360015815;1.673877483;Inf;2.983854905;0.02029192;0.043856729;COCO;GC_00032184;M_sp_018;accessory;2;non-DAGC;;;
378552;3.354195506;1.389975799;Inf;2.820599754;0.033352655;0.045604651;COCO;GC_00004686;M_sp_018;accessory;29;non-DAGC;;;
66724;3.205486933;1.955745369;Inf;4.153108496;0.012687209;0.030877608;COCO;GC_00019033;M_sp_018;accessory;4;non-DAGC;;;
379106;3.111458507;1.574559301;Inf;3.233152328;0.024050217;0.045604651;COCO;GC_00032298;M_sp_018;accessory;2;non-DAGC;;;Protein of unknown function (DUF2946)
551283;3.050826594;1.256323446;Inf;2.436355761;0.03574443;0.046958368;COCO;GC_00007258;M_sp_018;accessory;16;non-DAGC;;;
551682;2.988452214;1.469885053;Inf;2.79149686;0.024618377;0.045604651;COCO;GC_00000448;M_sp_018;core;103;non-DAGC;;;
378790;2.828578603;1.48092876;Inf;3.193195952;0.024794741;0.045604651;COCO;GC_00046526;M_sp_018;accessory;1;non-DAGC;;;
285352;2.745387685;1.341275943;Inf;2.650002144;0.028490832;0.045604651;COCO;GC_00025806;M_sp_018;accessory;2;non-DAGC;NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H);;short chain dehydrogenase
458126;2.598306821;1.900423439;Inf;4.882399192;0.004073256;0.020383067;COCO;GC_00056950;M_sp_018;accessory;1;angio_vs_gymno;;;
552276;2.580362496;1.635149347;Inf;3.564371393;0.011746916;0.030877608;COCO;GC_00041957;M_sp_018;accessory;1;angio_vs_gymno;Transposase|CRISPR-associated protein Csa3, CARF domain (Csa3) (PDB:2WTE) (PUBMED:21093452);;
66844;2.462166698;2.100765263;Inf;8.625077481;4.97E-04;0.013691828;COCO;GC_00007249;M_sp_018;accessory;13;angio_vs_gymno;Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains (CheB) (PDB:1A2O);;CheB methylesterase
66714;2.449074056;2.013110712;Inf;9.705575956;0.005224902;0.02059226;COCO;GC_00044446;M_sp_018;accessory;1;angio_vs_gymno;MHYT domain, NO-binding membrane sensor (MHYT)|Cyclic di-GMP metabolism protein, combines GGDEF and EAL domains with a 6TM membrane domain;;
551865;2.426373817;1.822871199;Inf;6.901363564;0.010178391;0.030877608;COCO;GC_00057535;M_sp_018;accessory;1;angio_vs_gymno;;;
66836;2.335007713;1.546425067;Inf;3.609047086;0.01128786;0.030877608;COCO;GC_00005106;M_sp_018;accessory;20;angio_vs_gymno;AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0);AraC family transcriptional regulator, ethanolamine operon transcriptional activator;Helix-turn-helix domain
379209;2.190322743;1.455510823;Inf;3.453381262;0.012987072;0.030877608;COCO;GC_00040931;M_sp_018;accessory;1;trees_vs_shrub;;;
165486;2.135930866;1.428275598;Inf;3.422048384;0.013364935;0.030877608;COCO;GC_00049500;M_sp_018;accessory;1;non-DAGC;;;
551570;2.098414223;1.599993738;Inf;4.698143238;0.004660616;0.020383067;COCO;GC_00028683;M_sp_018;accessory;2;non-DAGC;;;
165811;2.085149849;1.535963924;Inf;4.650068146;0.009377804;0.030877608;COCO;GC_00016286;M_sp_018;accessory;5;angio_vs_gymno;;;
285334;2.084983131;1.553627364;Inf;4.353049205;0.006064018;0.022571624;COCO;GC_00068416;M_sp_018;accessory;1;angio_vs_gymno;;;
551239;2.061648513;1.574557871;Inf;4.646510888;0.004843347;0.020383067;COCO;GC_00026991;M_sp_018;accessory;2;angio_vs_gymno;Serine kinase of the HPr protein, regulates carbohydrate metabolism (HprK) (PDB:1JB1);HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-];HPr Serine kinase C-terminal domain
458213;2.020250055;1.723722355;Inf;8.097115968;0.001968352;0.020383067;COCO;GC_00050992;M_sp_018;accessory;1;non-DAGC;;;
285704;1.967003993;1.539099307;Inf;4.817671833;0.004268737;0.020383067;COCO;GC_00013658;M_sp_018;accessory;5;angio_vs_gymno;;;Putative restriction endonuclease
66827;1.959201761;1.376467478;Inf;3.509097113;0.012346029;0.030877608;COCO;GC_00013381;M_sp_018;accessory;6;angio_vs_gymno;DNA-binding transcriptional regulator YiaG, XRE-type HTH domain (YiaG) (PDB:5JAA);putative transcriptional regulator;Helix-turn-helix domain
551448;1.931858763;1.572814608;Inf;5.532968803;0.002607191;0.020383067;COCO;GC_00032223;M_sp_018;accessory;2;angio_vs_gymno;;;
66964;1.89452975;1.508865197;Inf;4.944712603;0.003895265;0.020383067;COCO;GC_00002056;M_sp_018;core;98;non-DAGC;;;Ceramidase
285040;1.880672887;1.096925445;Inf;3.281097957;0.040835271;0.049509774;COCO;GC_00045106;M_sp_018;accessory;1;non-DAGC;;;
165825;1.846190452;1.251034992;Inf;3.031054098;0.019370233;0.043260187;COCO;GC_00055350;M_sp_018;accessory;1;non-DAGC;;;
458210;1.72420831;1.128092662;Inf;2.589935633;0.030344015;0.045604651;COCO;GC_00052441;M_sp_018;accessory;1;non-DAGC;;;
285537;1.66444381;1.052964397;Inf;2.557204271;0.041708543;0.049509774;COCO;GC_00008188;M_sp_018;accessory;14;non-DAGC;;;
551521;1.662515027;1.15511217;Inf;2.783548635;0.024819049;0.045604651;COCO;GC_00060681;M_sp_018;accessory;1;non-DAGC;;;
458134;1.661471695;1.10010251;Inf;3.440673024;0.037541122;0.047457645;COCO;GC_00005687;M_sp_018;accessory;18;non-DAGC;;;
552146;1.62058044;1.037045016;Inf;2.502763766;0.043746632;0.049509774;COCO;GC_00000310;M_sp_018;core;94;non-DAGC;Sulfate permease or related transporter, MFS superfamily (SUL1) (PDB:3NY7);;STAS domain
458130;1.56266667;1.030356467;Inf;2.487570519;0.044337111;0.049509774;COCO;GC_00010586;M_sp_018;accessory;8;non-DAGC;CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)|PAS domain (PAS) (PDB:2MWG)|DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains (AtoC) (PDB:1ZY2)|Signal transduction histidine kinase regulating C4-dicarboxylate transport system (PDB:4GCZ);;PAS fold
458204;1.524717504;1.090708836;Inf;2.577407797;0.030747759;0.045604651;COCO;GC_00015287;M_sp_018;accessory;3;angio_vs_gymno;;;
458252;1.514152779;1.252155635;Inf;4.183614108;0.00693889;0.024468717;COCO;GC_00004521;M_sp_018;accessory;30;non-DAGC;;;Protein of unknown function (DUF2380)
66535;1.496184836;1.06047451;Inf;2.67999903;0.03752449;0.047457645;COCO;GC_00043258;M_sp_018;accessory;1;angio_vs_gymno;Antitoxin component of toxin-antitoxin stability system, DNA-binding transcriptional repressor (Phd) (PDB:3DBO);;
166030;1.481282535;1.268645373;Inf;4.825217831;0.004245369;0.020383067;COCO;GC_00022398;M_sp_018;accessory;3;non-DAGC;;;
66871;1.419642204;1.097699343;Inf;2.77879398;0.024939997;0.045604651;COCO;GC_00053449;M_sp_018;accessory;1;non-DAGC;;;
551210;1.397323038;1.17649072;Inf;4.234187805;0.012054223;0.030877608;COCO;GC_00002973;M_sp_018;accessory;21;angio_vs_gymno;;;
285765;1.393697852;1.023879604;Inf;2.269502668;0.042887375;0.049509774;COCO;GC_00005130;M_sp_018;accessory;22;non-DAGC;;toxin YhaV [EC:3.1.-.-];Toxin with endonuclease activity, of toxin-antitoxin system
378476;1.278954289;1.181173696;Inf;6.081859208;0.001847105;0.020383067;COCO;GC_00005178;M_sp_018;accessory;24;non-DAGC;;;
166043;1.22875589;1.169012862;Inf;8.162835466;6.13E-04;0.013691828;COCO;GC_00009993;M_sp_018;accessory;10;angio_vs_gymno;Flp pilus assembly protein, pilin Flp (Flp);pilus assembly protein Flp/PilA;Flp/Fap pilin component
285443;1.22683543;1.017911641;Inf;2.314616183;0.040808743;0.049509774;COCO;GC_00000026;M_sp_018;accessory;73;non-DAGC;Transposase InsO and inactivated derivatives (Tra5);;Integrase core domain
379007;1.214609562;1.086314837;Inf;3.566122497;0.011728509;0.030877608;COCO;GC_00048450;M_sp_018;accessory;1;COCO_vs_gymno;;;
378907;1.168985145;1.031756108;Inf;2.625176467;0.029240524;0.045604651;COCO;GC_00058603;M_sp_018;accessory;1;non-DAGC;;;
554543;19998.14524;15366.09791;Inf;10.15977323;0.001015888;0.018624607;THOC;GC_00004705;M_sp_021;accessory;19;non-DAGC;;;
70763;19556.61479;12376.67813;Inf;7.953010715;0.007722427;0.038612133;THOC;GC_00027901;M_sp_021;accessory;2;non-DAGC;;;
288969;19284.22498;15277.74755;Inf;14.05392639;0.002512417;0.019740416;THOC;GC_00047496;M_sp_021;accessory;1;non-DAGC;;;
554371;18321.60111;14432.7724;Inf;11.08689428;7.86E-04;0.018624607;THOC;GC_00000157;M_sp_021;accessory;50;non-DAGC;Transposase;;
461004;15805.61462;10232.74255;Inf;8.281052615;0.007135493;0.038612133;THOC;GC_00003940;M_sp_021;accessory;31;non-DAGC;Copper chaperone CopZ (CopZ) (PDB:1AFI);;Heavy-metal-associated domain
169669;9387.521591;7664.170827;Inf;15.90419563;0.001965081;0.019740416;THOC;GC_00065648;M_sp_021;accessory;1;non-DAGC;;;
554373;6447.902156;5152.698077;Inf;14.53428201;0.002350241;0.019740416;THOC;GC_00009157;M_sp_021;accessory;12;non-DAGC;DNA-directed RNA polymerase specialized sigma subunit, sigma24 family (RpoE) (PDB:2Q1Z);RNA polymerase sigma-70 factor, ECF subfamily;Sigma-70, region 4
554552;5.120544102;3.838401473;Inf;7.563228615;0.002396849;0.019740416;THOC;GC_00018830;M_sp_021;accessory;3;non-DAGC;;;
288810;3.025625318;2.206502419;Inf;5.819679272;0.005051321;0.03472783;THOC;GC_00003379;M_sp_021;accessory;51;non-DAGC;Glutathione S-transferase (GstA) (PDB:1A0F);glutathione S-transferase [EC:2.5.1.18];Glutathione S-transferase, N-terminal domain
70696;1.949908995;1.834675501;Inf;24.07043705;8.61E-04;0.018624607;THOC;GC_00003868;M_sp_021;accessory;41;non-DAGC;Selenocysteine lyase/Cysteine desulfurase (CsdA) (PDB:4LW2);;Aminotransferase class-V
382150;1.947089746;1.543351482;Inf;6.849705979;0.01032775;0.043694328;THOC;GC_00037553;M_sp_021;accessory;1;non-DAGC;;;
382135;1.315814222;1.156050338;Inf;4.652025364;0.009367133;0.042932694;THOC;GC_00018427;M_sp_021;accessory;4;non-DAGC;;;
70707;1.241010505;1.164775151;Inf;9.23124458;0.00576615;0.035237581;THOC;GC_00050154;M_sp_021;accessory;1;non-DAGC;;;
463253;1.70216574;1.344963607;Inf;5.739926073;0.014518261;0.014518261;COCO;GC_00064352;M_sp_022;accessory;1;non-DAGC;;;
